listing_id,address,suburb,state,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,latitude,longitude,sale_date,sale_method,sale_price,source_url,source_file,source_page,expected_suburb
2020838220,16 Farnham Avenue,Randwick,NSW,2031,House,3,2,1,356,-33.914486,151.24805,2026-06-12,prior to auction,3250000,https://www.domain.com.au/16-farnham-avenue-randwick-nsw-2031-2020838220,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020840412,8 Dudley Street,Randwick,NSW,2031,House,4,3,2,411,-33.91997,151.24628,2026-06-13,at auction,3600000,https://www.domain.com.au/8-dudley-street-randwick-nsw-2031-2020840412,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020841366,25 Avoca Street,Randwick,NSW,2031,House,2,1,,,-33.904392,151.24484,2026-05-28,prior to auction,2500000,https://www.domain.com.au/25-avoca-street-randwick-nsw-2031-2020841366,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020877801,3 Glen Avenue,Randwick,NSW,2031,House,5,2,2,518,-33.9137,151.24864,2026-06-19,prior to auction,5350000,https://www.domain.com.au/3-glen-avenue-randwick-nsw-2031-2020877801,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020909276,6 Helena Street,Randwick,NSW,2031,House,4,3,1,460,-33.92467,151.24042,2026-06-26,at auction,4775000,https://www.domain.com.au/6-helena-street-randwick-nsw-2031-2020909276,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020914861,14 William Street,Randwick,NSW,2031,House,3,2,2,,-33.907497,151.23433,2026-06-12,by private treaty,3515000,https://www.domain.com.au/14-william-street-randwick-nsw-2031-2020914861,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020929488,10 Chiltern Street,Randwick,NSW,2031,Terrace,4,2,2,,-33.92303,151.23624,2026-06-02,by private treaty,3550000,https://www.domain.com.au/10-chiltern-street-randwick-nsw-2031-2020929488,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020929559,20 Chiltern Street,Randwick,NSW,2031,Terrace,3,2,2,,-33.92303,151.23624,2026-05-11,by private treaty,2850000,https://www.domain.com.au/20-chiltern-street-randwick-nsw-2031-2020929559,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2021091578,15 Chiltern Street,Randwick,NSW,2031,House,3,3,2,237,-33.92303,151.23624,2026-09-10,prior to auction,2900000,https://www.domain.com.au/15-chiltern-street-randwick-nsw-2031-2021091578,"1951 Houses Sold & Auction Results in Randwick, NSW, 2031 _ Domain.html",1,Randwick
2020549550,8 Fraser street,Randwick,NSW,2031,House,3,3,2,243,-33.907185,151.24617,2026-03-23,by private treaty,3520000,https://www.domain.com.au/8-fraser-street-randwick-nsw-2031-2020549550,randwick2.html,2,Randwick
2020563268,12 Gilderthorpe Avenue,Randwick,NSW,2031,House,3,1,,227,-33.906498,151.24751,2026-03-19,prior to auction,3150000,https://www.domain.com.au/12-gilderthorpe-avenue-randwick-nsw-2031-2020563268,randwick2.html,2,Randwick
